pattern,full_name,best_for,data_binding,testability,coupling,languages,example_structure,key_components,anti_patterns
mvvm,Model-View-ViewModel,Complex data-driven UIs,Auto two-way binding,High - ViewModel testable without UI,Low - View knows ViewModel only,C# WPF/WinUI/MAUI/Avalonia,"Models/ ViewModels/ Views/ Services/","Model (data/logic), View (XAML), ViewModel (INotifyPropertyChanged), Commands (ICommand)","Fat ViewModel, View logic in codebehind, Direct Model-View coupling"
mvp,Model-View-Presenter,Desktop apps requiring testability,Manual via Presenter,Very High - Presenter interface-driven,Low - View interface abstraction,C++ Qt/wxWidgets/WinForms Java Swing,"Models/ Views/ Presenters/ Interfaces/","Model (data), View (IView interface), Presenter (business logic)","Presenter calling View directly, Missing View interface, Business logic in View"
mvc,Model-View-Controller,Simple applications,Manual via Controller,Medium - Controller testable,Medium - View can access Model,C++ Qt MFC legacy apps,"Models/ Views/ Controllers/","Model (notifies View), View (displays), Controller (handles input)","Massive Controller, View modifying Model, Tight coupling"
flux,Flux/Redux Pattern,Complex state management,Unidirectional via Store,High - Predictable state,Low - Components subscribe to Store,JS/TS React Electron,"store/ actions/ reducers/ components/","Actions, Dispatcher, Store, Components","Mutating state directly, Side effects in reducers, Prop drilling"
clean,Clean Architecture,Large maintainable systems,Dependency injection,Very High - All layers testable,Very Low - Dependency Rule,Any language Qt .NET,"domain/ application/ infrastructure/ presentation/","Entities, Use Cases, Interface Adapters, Frameworks","Dependencies pointing inward, Business logic in UI, Database in core"
di,Dependency Injection,Decoupled systems,Via injected services,High - Mock dependencies,Very Low - Interface-based,C# .NET C++ with containers,"Interfaces/ Implementations/ Composition Root","IServiceProvider, Constructor injection, Lifetime scopes","Service Locator anti-pattern, Hidden dependencies, Tight coupling"
observer,Observer Pattern,Event-driven updates,Publish/Subscribe,Medium,Low - Loose coupling,C++ Qt Signals/Slots C# events,"Subjects (Observables) Observers (Listeners)","Subject maintains list, Notify on change, Observer registers/unregisters","Memory leaks (no unsubscribe), Excessive notifications, Chain reactions"
command,Command Pattern,Undo/Redo UI actions,Commands encapsulate action,High - Commands testable,Low - Invoker knows Command interface,C# WPF ICommand C++ Qt QAction,"Commands/ Invokers/ Receivers/","Command interface (Execute/CanExecute), Invoker, Receiver","Logic in CanExecute, Non-undoable commands for undoable actions"
repository,Repository Pattern,Data access abstraction,Via repository interface,High - Mock data access,Low - Business logic isolated,Any with database access,"Repositories/ Entities/ DataContext/","IRepository<T>, Add/Remove/Find methods, Unit of Work","Fat repository, Business logic in repository, Leaky abstractions"
singleton,Singleton Pattern,Global state management,Direct access,Low - Hard to mock,High - Global dependency,Any language,"AppState.Instance, Logger.Instance","Private constructor, Static instance, Thread-safe initialization","Overuse, Hidden dependencies, Global mutable state"
factory,Factory Pattern,Object creation abstraction,Via factory,High - Mock object creation,Low - Client knows interface only,C++ C# Python,"Factories/ Products/","IFactory, Create methods, Product interfaces","God factory, Factory knowing implementation details"
