pattern,category,cpp,csharp,java,python,go,rust,typescript,best_implementation,token_cost
Singleton,Creational,⚠️ Complex (thread-safe),✅ Simple (static),✅ Simple (enum),✅ Excellent (module),✅ Simple (sync.Once),✅ Simple (lazy_static),✅ Simple (module),Python/JS (modules are singletons),1k-2k
Factory Method,Creational,✅ Excellent (virtual),✅ Excellent (interface),✅ Excellent (interface),✅ Good (duck typing),✅ Good (interface),✅ Good (trait),✅ Good (function),C++/C#/Java (strong typing),2k-4k
Abstract Factory,Creational,✅ Excellent,✅ Excellent,✅ Excellent,✅ Good,✅ Good,✅ Good,✅ Good,C++/C#/Java,3k-5k
Builder,Creational,✅ Excellent (fluent),✅ Excellent (fluent),✅ Excellent (fluent),⚠️ Verbose (dataclasses),⚠️ Verbose,✅ Good (chaining),✅ Good (chaining),C++/C# (complex init),2k-4k
Prototype,Creational,✅ Good (copy ctor),✅ Good (ICloneable),✅ Good (Cloneable),✅ Excellent (copy),⚠️ Manual,✅ Good (Clone trait),✅ Good (spread),Python (dynamic clone),1k-2k
Adapter,Structural,✅ Excellent (multiple inheritance),✅ Good (interface),✅ Good (interface),✅ Excellent (duck typing),✅ Good (interface),✅ Good (trait),✅ Good (class),Python (no boilerplate),2k-3k
Bridge,Structural,✅ Excellent,✅ Good,✅ Good,✅ Good,✅ Good,✅ Good,✅ Good,C++/C#,3k-5k
Composite,Structural,✅ Excellent,✅ Good,✅ Good,✅ Good,✅ Good,✅ Good,✅ Good,All OOP languages,2k-4k
Decorator,Structural,⚠️ Complex (pointer),✅ Good (interface),✅ Good (interface),✅ Excellent (@decorator),⚠️ Manual,⚠️ Manual,✅ Good (@decorator),Python (native syntax),2k-3k
Facade,Structural,✅ Good,✅ Good,✅ Good,✅ Good,✅ Good,✅ Good,✅ Good,All languages,1k-2k
Proxy,Structural,✅ Excellent,✅ Good,✅ Good,✅ Good,✅ Good,✅ Good,✅ Good (Proxy object),JavaScript (ES6 Proxy),2k-3k
Observer,Behavioral,⚠️ Manual (Qt signals),✅ Excellent (event),✅ Good (listener),✅ Good (callback),✅ Good (channel),✅ Good (channel),✅ Excellent (events),C# (event keyword),2k-4k
Strategy,Behavioral,✅ Excellent (templates),✅ Good (interface),✅ Good (interface),✅ Excellent (first-class fn),✅ Good (interface),✅ Good (trait),✅ Excellent (first-class fn),C++ (compile-time),2k-3k
Command,Behavioral,✅ Good (functor),✅ Good (delegate),✅ Good (interface),✅ Excellent (callable),✅ Good (function),✅ Good (closure),✅ Excellent (closure),Python/JS (closures),1k-2k
State,Behavioral,✅ Good,✅ Good,✅ Good,✅ Good,✅ Good,✅ Good (enum),✅ Good,Rust (algebraic types),2k-4k
Template Method,Behavioral,✅ Excellent (virtual),✅ Excellent (virtual),✅ Excellent (abstract),✅ Good (inheritance),⚠️ Prefer composition,⚠️ Prefer composition,✅ Good (prototype),C++/C#/Java (OOP),2k-3k
Chain of Responsibility,Behavioral,✅ Good,✅ Good,✅ Good,✅ Good,✅ Good,✅ Good,✅ Good,All languages,2k-3k
Iterator,Behavioral,✅ Excellent (STL),✅ Excellent (IEnumerable),✅ Excellent (Iterator),✅ Excellent (generator),✅ Good (for range),✅ Excellent (IntoIterator),✅ Good (Symbol.iterator),Python (generators),1k-2k
Mediator,Behavioral,✅ Good,✅ Good,✅ Good,✅ Good,✅ Good,✅ Good,✅ Good,All languages,2k-4k
Visitor,Behavioral,✅ Excellent (double dispatch),✅ Good,✅ Good,⚠️ Verbose,⚠️ Manual,✅ Excellent (match),⚠️ Manual,Rust (pattern matching),3k-5k
