token_category,token_name,web_css,web_tailwind,desktop_wpf,desktop_winui3,desktop_qt,mobile_ios,mobile_android,mobile_flutter
color,color.primary,var(--color-primary),bg-primary,{DynamicResource PrimaryBrush},ThemeResource SystemAccentColor,palette.highlight(),Color.accentColor,MaterialTheme.colorScheme.primary,Theme.of(context).primaryColor
color,color.secondary,var(--color-secondary),bg-secondary,{DynamicResource SecondaryBrush},ThemeResource SystemColorGrayTextColor,palette.mid(),Color.secondary,MaterialTheme.colorScheme.secondary,Theme.of(context).colorScheme.secondary
color,color.background,var(--color-background),bg-background,{DynamicResource BackgroundBrush},ThemeResource ApplicationPageBackgroundThemeBrush,palette.window(),Color(.systemBackground),MaterialTheme.colorScheme.background,Theme.of(context).scaffoldBackgroundColor
color,color.surface,var(--color-surface),bg-surface,{DynamicResource SurfaceBrush},ThemeResource CardBackgroundFillColorDefaultBrush,palette.base(),Color(.secondarySystemBackground),MaterialTheme.colorScheme.surface,Theme.of(context).cardColor
color,color.text.primary,var(--color-text),text-foreground,{DynamicResource TextBrush},ThemeResource TextFillColorPrimaryBrush,palette.text(),Color.primary,MaterialTheme.colorScheme.onBackground,Theme.of(context).textTheme.bodyLarge?.color
color,color.text.secondary,var(--color-text-muted),text-muted-foreground,{DynamicResource TextSecondaryBrush},ThemeResource TextFillColorSecondaryBrush,palette.placeholderText(),Color.secondary,MaterialTheme.colorScheme.onSurfaceVariant,Theme.of(context).textTheme.bodySmall?.color
color,color.border,var(--color-border),border-border,{DynamicResource BorderBrush},ThemeResource CardStrokeColorDefaultBrush,palette.shadow(),Color.separator,MaterialTheme.colorScheme.outline,Theme.of(context).dividerColor
color,color.destructive,var(--color-destructive),bg-destructive,{DynamicResource ErrorBrush},ThemeResource SystemFillColorCriticalBrush,palette.critical,Color.red,MaterialTheme.colorScheme.error,Theme.of(context).colorScheme.error
color,color.success,var(--color-success),bg-success,{DynamicResource SuccessBrush},ThemeResource SystemFillColorSuccessBrush,palette.success,Color.green,MaterialTheme.colorScheme.tertiary,Colors.green
color,color.warning,var(--color-warning),bg-warning,{DynamicResource WarningBrush},ThemeResource SystemFillColorCautionBrush,palette.warning,Color.orange,Custom color,Colors.orange
spacing,spacing.xs,4px,p-1,4,4,4,4,4.dp,4.0
spacing,spacing.sm,8px,p-2,8,8,8,8,8.dp,8.0
spacing,spacing.md,16px,p-4,16,16,16,16,16.dp,16.0
spacing,spacing.lg,24px,p-6,24,24,24,24,24.dp,24.0
spacing,spacing.xl,32px,p-8,32,32,32,32,32.dp,32.0
spacing,spacing.2xl,48px,p-12,48,48,48,48,48.dp,48.0
spacing,spacing.3xl,64px,p-16,64,64,64,64,64.dp,64.0
radius,radius.none,0px,rounded-none,0,0,0,0,0.dp,0.0
radius,radius.sm,4px,rounded-sm,4,4,4,4,4.dp,4.0
radius,radius.md,8px,rounded-md,8,8,8,10,8.dp,8.0
radius,radius.lg,12px,rounded-lg,12,12,12,14,12.dp,12.0
radius,radius.xl,16px,rounded-xl,16,16,16,16,16.dp,16.0
radius,radius.full,9999px,rounded-full,999,999,999,CGFloat.infinity,50.dp,double.infinity
shadow,shadow.sm,0 1px 2px rgba(0,0,0,0.05),shadow-sm,DropShadowEffect{BlurRadius=2},DropShadow{BlurRadius=2},Qt.Shadow{blur:2},NSColor.shadowColor.opacity(0.1),1.dp elevation,elevation: 1
shadow,shadow.md,0 4px 6px rgba(0,0,0,0.1),shadow-md,DropShadowEffect{BlurRadius=6},DropShadow{BlurRadius=6},Qt.Shadow{blur:6},NSColor.shadowColor.opacity(0.2),4.dp elevation,elevation: 4
shadow,shadow.lg,0 10px 15px rgba(0,0,0,0.1),shadow-lg,DropShadowEffect{BlurRadius=15},DropShadow{BlurRadius=15},Qt.Shadow{blur:15},NSColor.shadowColor.opacity(0.3),8.dp elevation,elevation: 8
shadow,shadow.xl,0 20px 25px rgba(0,0,0,0.15),shadow-xl,DropShadowEffect{BlurRadius=25},DropShadow{BlurRadius=25},Qt.Shadow{blur:25},NSColor.shadowColor.opacity(0.4),16.dp elevation,elevation: 16
font,font.size.xs,12px,text-xs,FontSize=11,FontSize=11,font.pixelSize:10,Font.caption2,12.sp,fontSize: 12
font,font.size.sm,14px,text-sm,FontSize=12,FontSize=12,font.pixelSize:12,Font.footnote,14.sp,fontSize: 14
font,font.size.base,16px,text-base,FontSize=14,FontSize=14,font.pixelSize:14,Font.body,16.sp,fontSize: 16
font,font.size.lg,18px,text-lg,FontSize=16,FontSize=16,font.pixelSize:16,Font.title3,18.sp,fontSize: 18
font,font.size.xl,20px,text-xl,FontSize=18,FontSize=18,font.pixelSize:18,Font.title2,20.sp,fontSize: 20
font,font.size.2xl,24px,text-2xl,FontSize=22,FontSize=22,font.pixelSize:22,Font.title,24.sp,fontSize: 24
font,font.size.3xl,30px,text-3xl,FontSize=28,FontSize=28,font.pixelSize:28,Font.largeTitle,30.sp,fontSize: 30
font,font.weight.normal,400,font-normal,FontWeight=Normal,FontWeight=Normal,font.weight:Font.Normal,.regular,.Normal,fontWeight: FontWeight.w400
font,font.weight.medium,500,font-medium,FontWeight=Medium,FontWeight=Medium,font.weight:Font.Medium,.medium,.Medium,fontWeight: FontWeight.w500
font,font.weight.semibold,600,font-semibold,FontWeight=SemiBold,FontWeight=SemiBold,font.weight:Font.DemiBold,.semibold,.SemiBold,fontWeight: FontWeight.w600
font,font.weight.bold,700,font-bold,FontWeight=Bold,FontWeight=Bold,font.weight:Font.Bold,.bold,.Bold,fontWeight: FontWeight.bold
animation,duration.fast,150ms,duration-150,Duration=00:00:00.150,Duration=150ms,duration:150,withAnimation(.easeInOut(duration:0.15)),150L (ms),Duration(milliseconds: 150)
animation,duration.normal,250ms,duration-200,Duration=00:00:00.250,Duration=250ms,duration:250,withAnimation(.easeInOut(duration:0.25)),250L (ms),Duration(milliseconds: 250)
animation,duration.slow,350ms,duration-300,Duration=00:00:00.350,Duration=350ms,duration:350,withAnimation(.easeInOut(duration:0.35)),350L (ms),Duration(milliseconds: 350)
