phase,component_priority,implementation_approach,directory_structure,testing_strategy,team_size,timeline,decision_rules
MVP,Focus 20% most-used (Button/Input/Card/Modal),Library + Headless (Radix/shadcn),Simple (src/components/pages),Manual + Unit,1-3 developers,1-2 weeks,"{""speed_critical"": ""use-library"", ""brand_unique"": ""delay-customization""}"
MVP-Plus,Add Table/Form/Menu/Toast,Library + Selective Custom,Simple with hooks,Unit + Integration,2-5 developers,2-4 weeks,"{""if_data_heavy"": ""prioritize-table"", ""if_form_heavy"": ""prioritize-validation""}"
Growth,Extend existing + Add complex components,Headless + Custom wrappers,Feature-Sliced (app/features/shared),Unit + Integration + E2E,3-8 developers,1-3 months,"{""if_brand_differentiation"": ""add-custom-design"", ""if_scale_needed"": ""add-design-tokens""}"
Scale,Design system components + Variants,Custom + Design Tokens,Feature-Sliced + Monorepo,Full test pyramid,5-15 developers,3-6 months,"{""must_have"": ""design-tokens"", ""must_have"": ""storybook""}"
Enterprise,Full design system + Multi-brand,Custom + Token-based + Theming,Monorepo + Micro-frontends,Full + Visual regression,10-50+ developers,6-12 months,"{""must_have"": ""multi-theme"", ""must_have"": ""accessibility-audit""}"
Prototype,Minimal viable UI,Pre-built templates,Flat (single folder),None or minimal,1 developer,1-3 days,"{""speed_first"": ""use-template"", ""throw_away"": ""skip-patterns""}"
Redesign,Replace incrementally + Parallel systems,Strangler Fig pattern,Feature-Sliced + Legacy bridge,Full + A/B testing,5-10 developers,3-6 months,"{""must_have"": ""feature-flags"", ""must_have"": ""parallel-run""}"
Startup-Seed,Balance speed + quality,shadcn + Tailwind,Simple with conventions,Unit + Critical E2E,2-4 developers,2-4 weeks,"{""if_funded"": ""invest-in-foundation"", ""if_bootstrapped"": ""prioritize-speed""}"
Agency-Project,Client-specific branding,Headless + Client tokens,Template-based,Client acceptance,2-5 developers,1-2 months,"{""must_have"": ""brand-customization"", ""if_recurring"": ""build-template""}"
Open-Source,Community-friendly + Extensible,Headless primitives + Examples,Feature-Sliced + Docs,Full + Community CI,1-10 contributors,Ongoing,"{""must_have"": ""documentation"", ""must_have"": ""contribution-guide""}"
