category,rule_id,rule_name,description,applies_to,severity,example_good,example_bad
Naming,N001,Descriptive Names,Names should reveal intent without comments,all,CRITICAL,userAccountBalance,uab
Naming,N002,Avoid Abbreviations,Use full words except well-known acronyms,all,HIGH,numberOfItems,numItms
Naming,N003,Consistent Casing,Follow language-specific casing conventions,all,CRITICAL,getUserName (Java) get_user_name (Python),GetUserName (Python)
Naming,N004,Boolean Prefixes,Prefix booleans with is/has/can/should,all,MEDIUM,isValid hasAccess canEdit,valid access edit
Naming,N005,Verb Methods,Methods should start with verbs,all,HIGH,calculateTotal fetchUser,total user
Naming,N006,Noun Classes,Classes should be nouns or noun phrases,all,HIGH,UserRepository OrderProcessor,ProcessOrder DoCalculation
Naming,N007,Interface Naming,Follow language convention for interfaces,varies,MEDIUM,C#: IUserRepository TS: UserRepository,TS: IUserRepository (deprecated pattern)
Functions,F001,Single Responsibility,Each function does one thing well,all,CRITICAL,validateEmail() sendEmail(),validateAndSendEmail()
Functions,F002,Max Parameters,Limit parameters to 3-4 max,all,HIGH,createUser(config),createUser(name email age phone address)
Functions,F003,Max Length,Functions under 50 lines,all,MEDIUM,Short focused functions,300+ line functions
Functions,F004,Pure Functions,Prefer pure functions without side effects,all,MEDIUM,calculateSum(a b) => a+b,calculateSum modifies global state
Functions,F005,Early Return,Return early to reduce nesting,all,MEDIUM,if (!valid) return; process();,if (valid) { process(); }
Classes,C001,Single Purpose,Each class has one reason to change,all,CRITICAL,UserValidator (only validates),UserManagerValidatorLogger
Classes,C002,Max Length,Classes under 300 lines,all,MEDIUM,Focused domain class,God class with 1000+ lines
Classes,C003,Composition Over Inheritance,Prefer composition to inheritance,all,HIGH,class Car { engine: Engine },class Car extends Engine
Classes,C004,Open-Closed,Open for extension closed for modification,all,HIGH,Use interfaces and polymorphism,Switch statements on types
Classes,C005,Dependency Injection,Inject dependencies don't create them,all,HIGH,constructor(repo: IRepo),constructor() { this.repo = new Repo() }
Error Handling,E001,Specific Exceptions,Use specific not generic exceptions,all,HIGH,throw new InvalidEmailException,throw new Error('something wrong')
Error Handling,E002,No Silent Catch,Never swallow exceptions silently,all,CRITICAL,catch (e) { log(e); handle(); },catch (e) { }
Error Handling,E003,Error Messages,Include context in error messages,all,HIGH,Email 'x@y' format invalid,Invalid input
Error Handling,E004,Result Types,Consider Result<T E> over exceptions,Rust/TS/Go,MEDIUM,Result<User Error>,throws everywhere
Documentation,D001,Why Not What,Comments explain why not what,all,HIGH,// Timeout needed for legacy API,// Add 1 to counter
Documentation,D002,Self-Documenting,Code should be self-explanatory,all,MEDIUM,customerAge = birthDate.yearsUntilNow(),a = b.calc()
Documentation,D003,API Documentation,Public APIs must be documented,all,HIGH,@param @returns documentation,No docs on public methods
Documentation,D004,Outdated Comments,Remove outdated comments,all,HIGH,Keep comments in sync,Comment says X code does Y
Testing,T001,Test Naming,Tests describe expected behavior,all,HIGH,should_return_error_when_email_invalid,test1 testA
Testing,T002,AAA Pattern,Arrange-Act-Assert structure,all,MEDIUM,Clear sections in test,Mixed arrange act assert
Testing,T003,One Assert,One logical assertion per test,all,MEDIUM,Single focused assertion,Ten assertions in one test
Testing,T004,No Logic,No conditionals or loops in tests,all,HIGH,Straightforward assertions,if/for in test code
Performance,P001,Avoid Premature Optimization,Optimize after profiling,all,MEDIUM,Profile then optimize,Optimize without measurement
Performance,P002,N+1 Queries,Batch database queries,backend,HIGH,SELECT with JOIN or batch,Query per item in loop
Security,S001,Input Validation,Validate all user input,all,CRITICAL,Sanitize before use,Trust user input
Security,S002,No Hardcoded Secrets,Use environment variables,all,CRITICAL,process.env.API_KEY,apiKey = 'abc123'
Security,S003,Parameterized Queries,Prevent SQL injection,backend,CRITICAL,db.query('SELECT ? WHERE id = ?' [col id]),db.query('SELECT * WHERE id = ' + id)
Memory,M001,Prefer Stack Allocation,Use stack for small fixed-size data,C++/Rust/C/Go,HIGH,int arr[100]; Point p;,new int[100] for small arrays
Memory,M002,Smart Pointers Over Raw,Use RAII smart pointers,C++,CRITICAL,auto ptr = make_unique<Data>();,Data* p = new Data();
Memory,M003,Reserve Collection Capacity,Pre-allocate when size known,all,MEDIUM,vec.reserve(1000);,Loop push_back without reserve
