pattern,category,description,languages,use_case,example_code,anti_pattern
JWT_VERIFICATION,AuthN,"Verify JWT signature and claims before trusting payload","typescript,go,python,java","API authentication, stateless sessions","// TypeScript (jose)
import { jwtVerify } from 'jose';
const { payload } = await jwtVerify(token, secretKey);","// NEVER: Skip verification
const payload = JSON.parse(atob(token.split('.')[1]))"
JWT_EXPIRY,AuthN,"Always set and check token expiration (exp claim)","all","Short-lived access tokens, refresh token rotation","// Issue with expiry
jwt.sign({ userId }, secret, { expiresIn: '15m' })
// Verify checks exp automatically","// NEVER: No expiry
jwt.sign({ userId }, secret) // Token valid forever"
PASSWORD_BCRYPT,AuthN,"Hash passwords with bcrypt cost factor 12+ or argon2id","all","User registration, password storage","// bcrypt
const hash = await bcrypt.hash(password, 12);
const valid = await bcrypt.compare(input, hash);","// NEVER: MD5/SHA1/plaintext
const hash = crypto.createHash('md5').update(password)"
OAUTH2_PKCE,AuthN,"Use PKCE for public clients (SPA, mobile)","typescript,swift,kotlin","OAuth2 authorization code flow","// Generate code verifier + challenge
const verifier = generateCodeVerifier();
const challenge = sha256(verifier);","// NEVER: Implicit flow for new apps
response_type=token // Deprecated"
MFA_TOTP,AuthN,"Implement TOTP-based MFA with backup codes","all","Two-factor authentication","// Verify TOTP
import { authenticator } from 'otplib';
const isValid = authenticator.verify({ token, secret });","// NEVER: SMS-only MFA (SIM swap vulnerable)"
SESSION_HTTPONLY,Session,"Set HttpOnly, Secure, SameSite on session cookies","all","Web session management","Set-Cookie: sessionId=xxx; HttpOnly; Secure; SameSite=Strict; Path=/","// NEVER: Accessible to JS
Set-Cookie: sessionId=xxx"
SESSION_ROTATION,Session,"Regenerate session ID after login to prevent fixation","all","Login flow","// After successful auth
req.session.regenerate(() => { /* assign user */ });","// NEVER: Keep same session ID"
RATE_LIMITING,AuthN,"Implement rate limiting on auth endpoints","all","Login, password reset, API","// express-rate-limit
const limiter = rateLimit({ windowMs: 15*60*1000, max: 5 });
app.use('/login', limiter);","// NEVER: Unlimited attempts"
API_KEY_ROTATION,AuthZ,"Support API key rotation without downtime","all","API authentication","// Accept multiple keys during rotation
const validKeys = [currentKey, previousKey];
if (!validKeys.includes(providedKey)) throw 401;","// NEVER: Single key, no rotation plan"
RBAC_MIDDLEWARE,AuthZ,"Check permissions at middleware level, not in handlers","all","Role-based access control","// Middleware pattern
const requireRole = (role) => (req, res, next) => {
  if (!req.user.roles.includes(role)) return res.status(403);
  next();
};","// NEVER: Check roles in each handler manually"
CORS_ALLOWLIST,AuthZ,"Whitelist specific origins, not wildcard","all","Cross-origin API access","// Specific origins
cors({ origin: ['https://app.example.com'] })","// NEVER: Allow all
cors({ origin: '*', credentials: true }) // Dangerous combo"
INPUT_SANITIZATION,Validation,"Sanitize all user input before use","all","XSS prevention, injection prevention","// DOMPurify for HTML
const clean = DOMPurify.sanitize(userHtml);
// Zod for data
const data = schema.parse(req.body);","// NEVER: Trust user input directly"
CSP_HEADER,Headers,"Content-Security-Policy to prevent XSS","all","Web applications","Content-Security-Policy: default-src 'self'; script-src 'self'; style-src 'self'","// NEVER: No CSP or unsafe-inline everywhere"
HSTS_HEADER,Headers,"Strict-Transport-Security for HTTPS enforcement","all","All production sites","Strict-Transport-Security: max-age=31536000; includeSubDomains; preload","// NEVER: Allow HTTP in production"
X_FRAME_OPTIONS,Headers,"Prevent clickjacking with frame-ancestors","all","Web applications","X-Frame-Options: DENY
// or CSP: frame-ancestors 'none'","// NEVER: Allow any framing"
