platform,design_system,spacing_base,spacing_scale,border_radius,shadow_levels,color_tokens,typography_scale,accessibility_level,animation_duration,touch_target,key_patterns
Web-React,Custom/shadcn/MUI,4px,"4/8/12/16/24/32/48/64","sm:4px md:8px lg:12px xl:16px","sm:0-1-3 md:0-4-6 lg:0-10-15","{""primary"": ""brand"", ""secondary"": ""muted"", ""accent"": ""highlight"", ""destructive"": ""error""}","xs:12 sm:14 base:16 lg:18 xl:20 2xl:24",WCAG 2.1 AA,"fast:150ms normal:250ms slow:350ms",44x44px min,Component composition + Hooks + Server Components
Web-Vue,Vuetify/PrimeVue/Custom,4px,"4/8/12/16/24/32",md:6px lg:12px,"sm:0-2-4 md:0-4-8","{""primary"": """", ""secondary"": """", ""success"": """", ""warning"": """", ""error"": """"}","xs:12 sm:14 base:16 lg:18 xl:20",WCAG 2.1 AA,fast:150ms normal:200ms,44x44px min,Composition API + Provide/Inject
Desktop-Windows,Fluent Design (WinUI3),4px,"4/8/12/16/24/32","compact:2px normal:4px",Elevation 0-64,"{""accent"": ""system"", ""background"": ""mica/acrylic"", ""text"": ""primary/secondary""}","caption:12 body:14 subtitle:20 title:28 display:68",WCAG 2.0 AA,"standard:250ms fast:167ms",32x32px min,Adaptive layouts + XAML + MVVM
Desktop-WPF,Fluent/Custom Modern,4px,"4/8/12/16/24",4-8px radius,DropShadowEffect,"{""primary"": """", ""accent"": """", ""background"": """", ""foreground"": """"}","small:11 body:14 subtitle:18 title:24",WCAG 2.0 AA,Duration 200-400ms,32x32px min,DynamicResource + MVVM + Styles
Desktop-Qt,Qt Quick Controls,4px,"4/8/16/24",platform-native,Qt.shadow,"{""highlighted"": """", ""window"": """", ""button"": """", ""text"": """"}","small:10 body:12 title:16 heading:24",Platform-native,PropertyAnimation 200-300ms,32x32px min,QML + Signals/Slots + MVC
Desktop-Electron,Web-based (Tailwind/CSS),4px,"4/8/12/16/24/32/48",md:8px lg:12px,CSS box-shadow,"{""bg"": ""dark/light"", ""text"": ""primary/secondary"", ""border"": ""muted""}","xs:12 sm:14 base:16 lg:18 xl:20",WCAG 2.1 AA,CSS transitions 150-250ms,44x44px min,IPC + Preload + Web APIs
Desktop-Tauri,Web-based (modern CSS),4px,"4/8/12/16/24/32",md:8px lg:12px,CSS box-shadow,"{""surface"": """", ""primary"": """", ""accent"": """"}","sm:14 base:16 lg:18",WCAG 2.1 AA,CSS/GSAP 150-300ms,44x44px min,Rust commands + Web frontend
Desktop-macOS,Human Interface Guidelines,8px,"8/12/16/20/24/28","small:6 medium:10 large:14",NSColor.shadowColor,"{""accent"": ""system"", ""control"": """", ""label"": ""primary/secondary/tertiary""}","caption:10 body:13 title:17 headline:20 largeTitle:28",WCAG 2.0 AA,standard:250ms,22x22px min (controls),AppKit/SwiftUI + MVVM
Mobile-iOS,Human Interface (SwiftUI),4px,"4/8/12/16/24/32",continuous:10-14px,shadow symmetry,"{""accent"": ""system"", ""background"": ""primary/secondary"", ""label"": ""primary/secondary""}","caption2:11 footnote:13 body:17 title2:22 largeTitle:34",WCAG 2.0 AA,standard:350ms fast:250ms,44x44pt min,SwiftUI + Combine + MVVM
Mobile-Android,Material Design 3,4dp,"4/8/12/16/24/32/48",sm:4dp md:8dp lg:16dp,"elevation:1-5","{""primary"": """", ""secondary"": """", ""tertiary"": """", ""surface"": """", ""error"": """"}","labelSmall:11 bodyMedium:14 titleLarge:22 displayMedium:45",WCAG 2.1 AA,short:100ms standard:300ms,48x48dp min,Jetpack Compose + ViewModel + Material3
Mobile-Flutter,Material/Cupertino,4.0,"4/8/12/16/24/32",4-16 logical pixels,BoxShadow/Elevation,"{""primary"": """", ""secondary"": """", ""surface"": """", ""background"": """"}","caption:12 body:14 title:16 headline:24",Platform-adaptive,Duration(milliseconds: 200-300),44x44 logical pixels,Widgets + BLoC/Riverpod + Platform-adaptive
Mobile-ReactNative,Custom/NativeBase/Gluestack,4,"4/8/12/16/24/32",4-16,StyleSheet.shadow,"{""primary"": """", ""secondary"": """", ""background"": """", ""text"": """"}","xs:12 sm:14 md:16 lg:18 xl:20",Platform-native,Animated 200-300ms,44x44 min,Hooks + Native Modules + Hermes
