component_type,custom_score,library_score,headless_score,decision_factors,primary_recommendation,accessibility_priority,complexity_level
Button,2,4,5,Brand differentiation + Variants needed,Headless (Radix) + Tailwind styling,HIGH,Low
Input,2,4,5,Validation + Accessibility,Headless + Custom validation,HIGH,Medium
Modal/Dialog,1,3,5,Focus trap + A11y + Animation,Headless (Radix Dialog),HIGH,High
Dropdown/Select,1,3,5,Keyboard nav + Search + Multi-select,Headless (Radix Select),HIGH,High
Table,3,5,2,Sorting + Pagination + Virtualization,Library (TanStack Table) + Custom UI,MEDIUM,Very High
Form,2,4,4,Validation + Submission + Error handling,React Hook Form + shadcn inputs,HIGH,High
Toast/Notification,2,4,4,Queue + Animation + Position,Headless (Sonner) or Library,LOW,Medium
Tabs,2,3,5,Keyboard nav + URL sync,Headless (Radix Tabs),HIGH,Medium
Accordion,2,3,5,Animation + Multi-expand,Headless (Radix Accordion),HIGH,Medium
Menu/Context,1,3,5,Positioning + Keyboard,Headless (Radix Menu),HIGH,High
Tooltip,2,4,4,Positioning + Delay,Headless or Library,LOW,Medium
Card,4,3,2,Brand specific + Variants,Custom with design tokens,LOW,Low
Avatar,4,4,2,Fallback + Loading,Custom or shadcn,LOW,Low
Badge,5,3,1,Simple + Brand colors,Custom (utility class),LOW,Very Low
Skeleton,4,4,2,Animation style,Custom or shadcn,LOW,Low
Progress,3,4,3,Animation + Accessibility,Library or Headless,MEDIUM,Low
Slider,1,3,5,Touch + Keyboard + Range,Headless (Radix Slider),HIGH,High
Switch/Toggle,2,4,5,Accessibility + Animation,Headless (Radix Switch),HIGH,Medium
Checkbox,2,4,5,Accessibility + Indeterminate,Headless (Radix Checkbox),HIGH,Medium
Radio Group,2,4,5,Accessibility + Group handling,Headless (Radix Radio),HIGH,Medium
Date Picker,1,5,2,Timezone + Locale + Range,Library (react-day-picker),HIGH,Very High
Color Picker,2,5,2,Formats + Accessibility,Library (react-colorful),MEDIUM,High
Rich Text Editor,1,5,1,Collaboration + Plugins,Library (TipTap/Slate),MEDIUM,Very High
Carousel/Slider,2,4,3,Touch + Animation + A11y,Library (Embla) or Headless,MEDIUM,High
Stepper/Wizard,3,4,3,State management + Validation,Custom with state machine,MEDIUM,High
Sidebar/Nav,4,3,3,Responsive + Collapse,Custom with Headless primitives,MEDIUM,Medium
Header/Navbar,4,3,2,Brand specific + Responsive,Custom component,MEDIUM,Medium
Footer,5,2,1,Static + Brand specific,Custom component,LOW,Very Low
Pagination,3,4,3,URL sync + Accessibility,Library or Headless + Custom,MEDIUM,Medium
Breadcrumb,4,4,2,Routing integration,Custom or shadcn,MEDIUM,Low
