id,name,severity,category,rank_2024,description,detection_pattern,fix_pattern,languages,example_vuln,example_fix
CWE-79,Cross-site Scripting (XSS),CRITICAL,Injection,1,"Rendering untrusted data in HTML without encoding. #1 in 2024 (was #2)","(innerHTML|document\\.write|dangerouslySetInnerHTML)","HTML entity encoding, CSP headers, sanitize libraries","javascript,typescript","// BAD: Direct HTML injection
element.innerHTML = userInput","// GOOD: Text content or sanitize
element.textContent = userInput
// or: DOMPurify.sanitize(userInput)"
CWE-787,Out-of-bounds Write,CRITICAL,Memory,2,"Writing data past buffer end. #2 in 2024 (was #1)","(strcpy|strcat|sprintf|gets\\()","Use safe functions: strncpy, snprintf, fgets with size limits","c,cpp","// BAD: Buffer overflow
char buf[10]; strcpy(buf, userInput);","// GOOD: Bounded copy
char buf[10]; strncpy(buf, userInput, sizeof(buf)-1); buf[sizeof(buf)-1] = '\\0';"
CWE-89,SQL Injection,CRITICAL,Injection,3,"Constructing SQL queries from untrusted input without parameterization.","(query.*\\+|execute.*\\+|SELECT.*\\$\\{)","Parameterized queries, ORM, prepared statements","all","// BAD: String concatenation
db.query(`SELECT * FROM users WHERE name = '${name}'`)","// GOOD: Prepared statement
db.query('SELECT * FROM users WHERE name = ?', [name])"
CWE-352,Cross-Site Request Forgery (CSRF),HIGH,Session,4,"Forging requests from authenticated users. Jumped 5 positions in 2024.","(form.*method.*post|fetch\\(.*method.*POST)","CSRF tokens, SameSite cookies, double-submit cookies","all","// BAD: No CSRF protection
<form method='POST' action='/transfer'>","// GOOD: CSRF token
<input type='hidden' name='csrf' value='{{token}}'>"
CWE-22,Path Traversal,HIGH,Injection,5,"Using user input to access files outside intended directory. Moved to #5.","(readFile\\(|open\\(|include\\().*req\\.(params|query|body)","Path normalization, jail to base directory, allowlisting","all","// BAD: Path traversal
fs.readFile('/uploads/' + req.query.file)","// GOOD: Path normalization
const safePath = path.resolve('/uploads', path.basename(req.query.file))"
CWE-125,Out-of-bounds Read,HIGH,Memory,6,"Reading data beyond buffer boundaries (information leak).","(buffer\\[|array\\[|ptr\\+)","Bounds checking, safe iterators, span/slice types","c,cpp,rust","// BAD: Array out of bounds
for(int i=0; i<=len; i++) buf[i]","// GOOD: Proper bounds
for(int i=0; i<len; i++) buf[i]"
CWE-78,OS Command Injection,CRITICAL,Injection,7,"Executing shell commands with untrusted input.","(exec\\(|system\\(|popen\\(|shell_exec)","Avoid shell, use safe APIs, input validation","all","// BAD: Shell command injection
exec(`rm -rf ${userPath}`)","// GOOD: Use safe API
fs.rmSync(path.resolve(safeBaseDir, userPath), { recursive: true })"
CWE-416,Use After Free,CRITICAL,Memory,8,"Accessing memory after it has been freed.","(free\\(.*\\)|delete\\s+|\\.release\\(\\))","Smart pointers, RAII, null after free","c,cpp,rust","// BAD: Use after free
free(ptr); printf('%s', ptr);","// GOOD: Null after free
free(ptr); ptr = NULL;"
CWE-862,Missing Authorization,CRITICAL,AuthZ,9,"Lack of proper checks to ensure users have necessary permissions.","(app\\.(get|post|put|delete)\\()(?!.*authorize)","Authorization middleware, RBAC/ABAC, deny by default","all","// BAD: No authz check
app.get('/admin/users', getUsers)","// GOOD: Authorization middleware
app.get('/admin/users', requireRole('admin'), getUsers)"
CWE-434,Unrestricted File Upload,HIGH,Injection,10,"Allowing upload of executable files or scripts.","(file.*upload|multer|formidable)","File type validation, rename files, store outside webroot","all","// BAD: No file type check
app.post('/upload', multer().single('file'))","// GOOD: Validate MIME and extension
if (!ALLOWED_TYPES.includes(file.mimetype)) throw new Error('Invalid type')"
