category,stack_id,name,focus,language,patterns,architecture,animation,dark_mode,docs_url
native,wpf,WPF,.NET,C#/XAML,"MVVM, Dependency Properties, Commands, Styles, Triggers","Data Templates, User Controls, Content Presenters","Storyboard, DoubleAnimation, EasingFunctions (BackEase, BounceEase, ElasticEase), GPU-friendly: RenderTransform, Opacity","ThemeMode.Dark, ResourceDictionary: Light.xaml/Dark.xaml, ThemeResource",https://docs.microsoft.com/wpf
native,winui3,WinUI 3,Windows 11 Native,C#/XAML,"DirectX 12, Mica, Acrylic, Fluent Design, WASDK","App.xaml.cs, MainWindow, NavigationView, ContentFrame","CompositionTarget.Rendering, SmoothTransitions, PointerPressed/Released, Implicit animations","Mica backdrop, Acrylic brush, Auto-detect: Application.RequestedTheme",https://docs.microsoft.com/windows/apps/winui
native,winforms,WinForms,Legacy .NET,C#,"TableLayoutPanel, FlowLayoutPanel, Data Binding, Designer patterns","Form inheritance, UserControl, MVP pattern, Event-driven","GDI+ (limited), Timer-based, Double buffering: SetStyle(ControlStyles.OptimizedDoubleBuffer)","DarkMode.Explorer: DwmSetWindowAttribute, Manual theme toggle, SystemColors override",https://docs.microsoft.com/dotnet/desktop/winforms
hybrid,webview2,WebView2,Web+Native Hybrid,C++/C#,"CoreWebView2, PostWebMessage, AddHostObjectToScript, ExecuteScriptAsync","Evergreen runtime, NavigationStarting event, Security: ValidateOrigin","CSS animations in WebView, Native: CoreWebView2CompositionController","CSS prefers-color-scheme + Native sync, User data folder per theme",https://docs.microsoft.com/microsoft-edge/webview2
cross,qt-widgets,Qt Widgets,Native Cross-Platform,C++,"QMainWindow, QWidget, Signals/Slots, QStyle, Q_OBJECT macro","Model/View (QAbstractItemModel), QProxyModel, Plugin architecture","QPropertyAnimation, QSequentialAnimationGroup, QEasingCurve","QPalette::Dark, QStyleFactory::create('Fusion'), Custom QSS",https://doc.qt.io/qt-6/qtwidgets-index.html
cross,qt-qml,Qt QML,Declarative UI,C++/QML,"Item, Rectangle, MouseArea, states, transitions, Loader","QQmlApplicationEngine, C++ backend + QML frontend, Property binding","Behavior on, NumberAnimation, SequentialAnimation, Easing.InOutQuad","QtQuick.Controls Material.theme: Material.Dark, Accent colors",https://doc.qt.io/qt-6/qmlapplications.html
cross,qt-python,Qt Python,Python Qt Bindings,Python,"PySide6/PyQt6, QMainWindow, QTreeView, Signals, QFluentWidgets","Designer .ui files, resources_rc.py, uic.loadUi","QPropertyAnimation (same as Qt Widgets), QParallelAnimationGroup","setStyle('Fusion'), setPalette(dark_palette), QFluentWidgets themes",https://doc.qt.io/qtforpython
game,imgui,Dear ImGui,Immediate Mode GUI,C++,"ImGui::Begin, ImGui::Button, ImGui::InputText, custom rendering","Renderer-agnostic, DirectX/OpenGL/Vulkan backends, Platform: Win32/GLFW","ImGuiCol colors, Smooth transitions via lerp(), No built-in animation","ImGui::StyleColorsDark(), ImGui::StyleColorsLight(), Custom themes",https://github.com/ocornut/imgui
cross,wxwidgets,wxWidgets,Native Look,C++,"wxFrame, wxPanel, wxSizer, event table macros, DECLARE_EVENT_TABLE","Document/View, XRC (XML resources), wxApp lifecycle","wxAnimationCtrl (GIF), Timer-based, Native platform animations","wxSystemSettings::GetColour, wxAuiManager, Platform-native dark",https://www.wxwidgets.org/docs/
audio,juce,JUCE,Audio Applications,C++,"Component, AudioProcessor, PluginProcessor, ValueTree","Audio plugin (VST/AU/AAX), Standalone app, ProJucer project","LookAndFeel, ComponentAnimator, Desktop::setKioskModeComponent","LookAndFeel_V4::getDarkColorScheme(), setColour methods",https://docs.juce.com
cross,nana,Nana C++,Modern C++ GUI,C++,"form, button, panel, place layout, events::click","place layout (div/vert/hort), internationalization, Modern C++11/14","animation class, effect::fade_in, effect::fade_out","appearance::bground('#1E1E1E'), Custom color scheme",https://nana.sourceforge.io
web,electron,Electron,Web Technology Desktop,JS/TS,"BrowserWindow, ipcMain/ipcRenderer, preload scripts, contextBridge","Main process + Renderer, NodeJS integration, Chromium sandbox","CSS animations, Framer Motion, React Spring, requestAnimationFrame","nativeTheme.themeSource, CSS prefers-color-scheme, Tailwind dark:",https://www.electronjs.org/docs
web,tauri,Tauri,Lightweight Web Desktop,Rust+JS,"tauri::command, invoke, Window, Menu, Tray","Rust backend + WebView2/WebKit frontend, Command pattern","CSS animations, Native: window effects, Vibrancy/Mica via tauri-plugin","prefers-color-scheme + Rust theme detection, <10MB binary",https://tauri.app/v2/guides
dotnet,avalonia,Avalonia UI,Cross-Platform .NET,C#/XAML,"Window, UserControl, Styles, ControlTemplates, DataTemplates","MVVM (ReactiveUI), Skia rendering, Platform detection","Transitions, RenderTransformOrigin, Animation, Easing","FluentTheme Mode=Dark, SimpleTheme, <StyleInclude>",https://docs.avaloniaui.net
