id,name,severity,version,description,detection_pattern,fix_pattern,languages,example_vuln,example_fix
A01,Broken Access Control,CRITICAL,2025,"Missing authorization checks. #1 in both 2021 and 2025. 100% of apps have some form.","(!authz|!permission|!role|admin|delete|update).*endpoint","Implement RBAC/ABAC, check permissions on every request, deny by default","all","// BAD: No auth check
app.delete('/users/:id', (req, res) => db.deleteUser(req.params.id))","// GOOD: Auth middleware + role check
app.delete('/users/:id', auth, requireRole('admin'), (req, res) => ...)"
A02,Security Misconfiguration,CRITICAL,2025,"Moved UP to #2 in 2025 (was #5 in 2021). Default configs, verbose errors, unused features.","(debug.*true|verbose|stack.*trace|default.*password)","Hardened configs, disable unused features, custom error pages, security headers","all","// BAD: Debug mode in production
DEBUG=true
SHOW_STACK_TRACE=true","// GOOD: Production config
DEBUG=false
SHOW_STACK_TRACE=false
ERROR_PAGE=/errors/500.html"
A03,Software Supply Chain Failures,CRITICAL,2025,"NEW in 2025! Replaces 'Vulnerable Components'. Covers CI/CD, dependencies, build pipelines.","(npm install|pip install|unsigned|http://|package-lock|yarn.lock)","Signed releases, verified checksums, lock files, SBOM, private registries, dependency scanning","all","// BAD: Trusting external scripts, no SRI
<script src='http://cdn.example.com/lib.js'>
// BAD: No lockfile verification","// GOOD: SRI hash + HTTPS
<script src='https://...' integrity='sha384-...'>
// GOOD: npm ci --ignore-scripts + audit"
A04,Insecure Design,HIGH,2025,"Architectural flaws that can't be fixed by implementation. Missing threat modeling.","(todo|fixme|hack|workaround).*security","Threat modeling, secure design patterns, defense in depth, security requirements","all","// BAD: Password in URL
GET /reset-password?token=abc&newPassword=secret","// GOOD: POST with body, rate limited
POST /reset-password { token, newPassword }"
A05,Cryptographic Failures,CRITICAL,2025,"Moved DOWN to #5 in 2025 (was #2 in 2021). Weak encryption, plaintext passwords.","(md5|sha1|plaintext|http://)","Use bcrypt/argon2 for passwords, TLS 1.3, AES-256-GCM for data at rest","all","// BAD: MD5 password hash
const hash = crypto.createHash('md5').update(password).digest('hex')","// GOOD: bcrypt with cost factor 12
const hash = await bcrypt.hash(password, 12)"
A06,Injection,CRITICAL,2025,"Moved DOWN to #6 in 2025 (was #3 in 2021). SQL/NoSQL/OS command injection.","(query\\s*\\+|exec\\s*\\(|eval\\s*\\(|system\\s*\\()","Parameterized queries, input validation, ORM with safe methods","all","// BAD: SQL injection
db.query('SELECT * FROM users WHERE id = ' + req.params.id)","// GOOD: Parameterized query
db.query('SELECT * FROM users WHERE id = $1', [req.params.id])"
A07,Identification and Authentication Failures,CRITICAL,2025,"Weak passwords, no MFA, session fixation, credential stuffing.","(password.*=|session.*id|token.*storage)","MFA, password policies (NIST 800-63B), secure session management, rate limiting","all","// BAD: Session ID in URL
GET /dashboard?sessionId=abc123","// GOOD: HttpOnly cookie
Set-Cookie: sessionId=abc123; HttpOnly; Secure; SameSite=Strict"
A08,Software and Data Integrity Failures,HIGH,2025,"Unsigned updates, compromised CI/CD, insecure deserialization.","(pickle\\.load|unserialize|ObjectInputStream|auto-update)","Signed releases, verified checksums, secure deserialization, code signing","all","// BAD: Insecure deserialization (Python)
pickle.loads(user_data)","// GOOD: Safe JSON with schema validation
data = json.loads(user_data); validate(data, schema)"
A09,Security Logging and Monitoring Failures,MEDIUM,2025,"Missing security logs, sensitive data in logs, no alerting.","(console\\.log|print\\(|logger.*password|log.*token)","Structured logging, exclude PII, security event monitoring, SIEM integration","all","// BAD: Logging secrets
console.log('User login:', { email, password })","// GOOD: Sanitized logging
logger.info('User login', { email, timestamp, source_ip })"
A10,Server-Side Request Forgery (SSRF),HIGH,2025,"Server-side request forgery - fetching attacker-controlled URLs.","(fetch\\(|request\\(|http.*get\\().*user","URL allowlisting, disable redirects, network segmentation, metadata protection","all","// BAD: Fetching user-provided URL
const data = await fetch(req.query.url)","// GOOD: Allowlist validation
if (!ALLOWED_HOSTS.includes(new URL(url).host)) throw new Error('Blocked')
// Also block: 169.254.169.254, localhost, internal IPs"
