platform,framework,language,ui_approach,rendering,performance,touch_target,code_output,detection_file,use_case
Web,React,TypeScript,Component-based,Virtual DOM,High,44x44px,JSX + Tailwind,package.json (react),SPA/Dynamic apps
Web,Vue,TypeScript,Composition API,Virtual DOM,High,44x44px,Vue SFC + Tailwind,package.json (vue),Progressive apps
Web,Svelte,TypeScript,Reactive,Compile-time,Very High,44x44px,Svelte + CSS,package.json (svelte),Performance-critical
Web,Angular,TypeScript,DI + Modules,Zone.js,High,44x44px,HTML + TypeScript,angular.json,Enterprise apps
Desktop,WPF,C#/XAML,MVVM,DirectX,Native,32x32px,XAML,*.csproj (WPF),Windows enterprise
Desktop,WinUI3,C#/XAML,MVVM,DirectX 12,Native,32x32px,XAML,*.csproj (WinUI),Windows 11 apps
Desktop,Qt/QML,C++/QML,Signals/Slots,OpenGL/Native,Native,32x32px,QML,CMakeLists.txt (Qt),Cross-platform desktop
Desktop,Electron,TypeScript,Web-based,Chromium,Medium,44x44px,React/Vue + CSS,package.json (electron),Web devs → desktop
Desktop,Tauri,Rust/TypeScript,Web-based,Native WebView,Very High,44x44px,React/Vue + CSS,Cargo.toml (tauri),Lightweight desktop
Desktop,Avalonia,C#/XAML,MVVM,Skia,Native,32x32px,XAML,*.csproj (Avalonia),Cross-platform .NET
Mobile,Flutter,Dart,Widget tree,Impeller/Skia,60fps,44x44pt,Dart,pubspec.yaml,Pixel-perfect cross-platform
Mobile,ReactNative,TypeScript,Native bridge,Native components,Near-native,44x44pt,JSX,package.json (react-native),JS devs → mobile
Mobile,SwiftUI,Swift,Declarative,Native,Native,44x44pt,Swift,.xcodeproj,iOS/macOS native
Mobile,Compose,Kotlin,Composable,Native,Native,48x48dp,Kotlin,build.gradle.kts (compose),Android native
Mobile,MAUI,.NET/XAML,MVVM,Native per platform,Native,44x44pt,XAML,*.csproj (MAUI),C# cross-platform
Mobile,KMP,Kotlin,Shared logic,Native UI,Maximum,48x48dp,Kotlin,build.gradle.kts (multiplatform),Shared business logic
